0,1,2,3,4,5,6
"E
    N
  2
  3
  N
PRINCIPLE 6: Businesses should respect and make efforts to protect and restore the environment 
ssential Indicators 
 
1.  Details of total energy consumption (in Joules or multiples) and energy intensity, in the 
following format: 
 
ote:  Indicate  if  any  independent  assessment/  evaluation/assurance  has  been  carried  out  by  an 
external agency? (Y/N) If yes, name of the external agency. 
The Bank undergoes external Assurance of environmental performance. The assurance statement for 
FY 2021-22 has been provided here  
https://www.axisbank.com/docs/default-source/default-document-library/sr-assurance-statement-
21-22.pdf 
.  Does  the  entity  have  any  sites  /  facilities  identified  as  designated  consumers  (DCs)  under  the 
Performance, Achieve and Trade (PAT) Scheme of the Government of India? (Y/N) If yes, disclose 
whether  targets  set  under  the  PAT  scheme  have  been  achieved.  In  case  targets  have  not  been 
achieved, provide the remedial action taken, if any. 
ot Applicable 
. 
Provide details of the following disclosures related to water, in the following format: 
 
Not Applicable",,,,,,
,Parameter,,"FY 22 
(Current Financial Year)",,"FY 21 
(Previous Financial Year)",
,Total electricity consumption (A),,737.75,,859.98,
,Total fuel consumption (B),,157.15,,74.58,
,"Energy 
consumption 
through 
other sources (C)",,13.97,,12.59,
,"Total 
energy 
consumption 
(A+B+C)",,916.42,,947.15,
,"Energy 
intensity  per 
rupee  of 
turnover 
(Total 
energy 
consumption/ 
turnover in rupees)",,0.78 (GJ/Rupee),,0.95,
,"Energy  intensity  (optional)  –  the 
relevant  metric  may  be  selected by 
the entity",,10.72 (GJ/FTE),,12.10 (GJ/FTE),
,,,,,,
,"Parameter 
FY2021-22 
FY 2020-21",,,,,
,Water Withdrawal by source (in KL),,,,,
,(i) Surface Water,,,,,
,(ii) Ground Water,,,,,
,(iii) Third Party Water,,,,,
,(iv) Seawater / Distilled Water,,,,,
,(v) Others,,,,,
,"Total volume of water withdrawal 
 
(in kilolitres) (i + ii + iii + iv + v)",,,,,
,,,,,,
